id,name,credits,college,prereqs
ECE 152A,Digital Design Principles,5,College of Engineering,"ECE 15A | ECE 2A, ECE 10A, ECE 10AL; ECE 15A, ECE 2A, ECE 10A, ECE 10AL, CMPSC 30, CMPSC 64"
ECE 152B,Digital System Design,4,College of Engineering,ECE 152A
ECE 153A,Hardware/Software Interface,4,College of Engineering,
ECE 153B,Sensor and Peripheral Interface Design,4,College of Engineering,ECE 152A
ECE 154A,Introduction to Computer Architecture,4,College of Engineering,ECE 152A
ECE 154B,Advanced Computer Architecture,4,College of Engineering,| ECE 154A
ECE 157A,Machine Learning in Design and Test Automation,4,College of Engineering,ECE 152A
ECE 157B,Artificial Intelligence in Design and Test Automation,4,College of Engineering,ECE 157A
ECE 157C,AI Agents for the Semiconductor Industry,4,College of Engineering,
ECE 158,Digital Signal Processing,4,College of Engineering,"ECE 130A, ECE 130B"
ECE 15A,Fundamentals of Logic Design,4,College of Engineering,
ECE 160,Multimedia Systems,4,College of Engineering,
ECE 162A,The Quantum Description of Electronic Materials,4,College of Engineering,"ECE 130A, ECE 130B, ECE 134"
ECE 162B,Fundamentals of the Solid State,4,College of Engineering,ECE 162A
ECE 162C,Optoelectronic Materials and Devices,4,College of Engineering,"ECE 162A, ECE 162B"
ECE 178,Introduction to Digital Image and Video Processing,4,College of Engineering,
ECE 179D,Introduction to Robotics: Dynamics and Control,4,College of Engineering,"| ECE 130A, ME 103"
ECE 179P,Introduction to Robotics: Planning and Kinematics,4,College of Engineering,"ENGR 3 | ME 17, ECE 130C"
ECE 180,INTRODUCTION TO DEEP LEARNING,4,College of Engineering,
ECE 181,Introduction to Computer Vision,4,College of Engineering,
ECE 183,Nonlinear Phenomena,4,College of Engineering,"| PHYS 105A, PHYS 103; PHYS 105A, PHYS 103, ME 163"
ECE 184,Introduction to Video Game Development,5,College of Engineering,CMPSC 130A | CMPSC 130B
ECE 186,Probabilistic Machine Learning,4,College of Engineering,"| ECE 139, PSTAT 120A"
ECE 188A,Senior Electrical Engineering Project,4,College of Engineering,"ECE 153A | ECE 153A, ECE 153B"
ECE 188B,Senior Electrical Engineering Project,4,College of Engineering,ECE 188A
ECE 188C,Senior Electrical Engineering Project,4,College of Engineering,ECE 188B
ECE 189A,Senior Computer Systems Project,4,College of Engineering,ECE 153B
ECE 189B,Senior Computer Systems Project,4,College of Engineering,| ECE 189A
ECE 189C,Senior Computer Systems Project,4,College of Engineering,| ECE 189B
ECE 192,Projects in Electrical and Computer Engineering,4,College of Engineering,
ECE 193,Internship in Industry,12,College of Engineering,
ECE 194,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 194A,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194AA,Micro-Electro-Mechanical Systems,99,College of Engineering,
ECE 194B,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194BB,Computer Engineering,99,College of Engineering,
ECE 194C,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194CC,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 194D,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 194E,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194F,Group Studies in Electrical and Computer Engineering: Solid State,5,College of Engineering,
ECE 194G,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194M,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 194N,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 194O,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194P,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 194Q,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 194R,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194T,Group Studies in Electrical and Computer Engineering: Robot Control,5,College of Engineering,
ECE 194U,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194V,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 194W,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 194Z,Nanotechnology,99,College of Engineering,
ECE 196,Undergraduate Research,12,College of Engineering,
ECE 199,Independent Studies in Electrical and Computer Engineering,30,College of Engineering,
ECE 1A,Computer Engineering Seminar,1,College of Engineering,
ECE 1B,Ten Puzzling Problems in Computer Engineering,1,College of Engineering,
ECE 201A,Electromagnetic Theory I,4,College of Engineering,ECE 144
ECE 203,"THz Science, Technology, and Systems",4,College of Engineering,
ECE 205,Information Theory,4,College of Engineering,"| ECE 139, PSTAT 120A, PSTAT 120B"
ECE 210A,Matrix Analysis and Computation,4,College of Engineering,
ECE 210B,Numerical Simulation,4,College of Engineering,
ECE 210C,Numerical Solution of Partial Differential Equations--Finite Difference Methods,4,College of Engineering,
ECE 210D,Numerical Solution of Partial Differential Equations--Finite Element Methods,4,College of Engineering,
ECE 211A,Engineering Quantum Mechanics I,4,College of Engineering,"ECE 162A, ECE 162B"
ECE 211B,Engineering Quantum Mechanics II,4,College of Engineering,"| ECE 211A, MATRL 211A, ECE 215A, MATRL 206A"
ECE 215A,Fundamentals of Electronic Solids I,4,College of Engineering,"| ECE 162A, ECE 162B"
ECE 215B,Fundamentals of Electronic Solids II,4,College of Engineering,"ECE 162A, ECE 162B"
ECE 216,Defects in Semiconductors,3,College of Engineering,"ECE 162A, ECE 162B"
ECE 217,Molecular Beam Epitaxy and Band Gap Engineering,3,College of Engineering,"| MATRL 162A, MATRL 162B, ECE 162A, ECE 162B"
ECE 218A,Communication Electronics,5,College of Engineering,"ECE 137A, ECE 137B"
ECE 218B,Communication Electronics II,5,College of Engineering,ECE 218A
ECE 218C,Communication Electronics III,5,College of Engineering,ECE 218B
ECE 219,CMOS & RF INTEGRATED CIRCUIT DESIGN,4,College of Engineering,"ECE 137A, ECE 137B"
ECE 220A,Semiconductor Device Processing,4,College of Engineering,ECE 132
ECE 220B,Semiconductor Device Processing,4,College of Engineering,ECE 220A
ECE 220C,Semiconductor Device Processing,4,College of Engineering,ECE 220A
ECE 221A,Semiconductor Device Physics I,4,College of Engineering,"ECE 132, ECE 162A, ECE 162B"
ECE 221B,Semiconductor Device Physics II,4,College of Engineering,"ECE 215A, ECE 221A"
ECE 223,High-Performance Digital Circuit Design,4,College of Engineering,"ECE 2A, ECE 2B, ECE 2C"
ECE 224A,VLSI Project Design,4,College of Engineering,"ECE 124A | ECE 124D, ECE 256C"
ECE 225,High Speed Digital Integrated Circuit Design,4,College of Engineering,"| ECE 124A, ECE 137A"
ECE 226,Level Set Methods,4,College of Engineering,"| CMPSC 211C, CH E 211C, ECE 210C, ME 210C"
ECE 227A,Semiconductor Lasers I,4,College of Engineering,"| ECE 162A, ECE 162B, ECE 162C, MATRL 162A, MATRL 162B; ECE 162C, ECE 144"
ECE 227B,Semiconductor Lasers II,4,College of Engineering,"| ECE 227A, MATRL 268A, ECE 215A, MATRL 206A"
ECE 227C,Photonic Integrated Circuits,4,College of Engineering,"ECE 227A, ECE 227B"
ECE 228A,Fiber Optic Communications,4,College of Engineering,"ECE 162A, ECE 162B, ECE 162C, ECE 144, ECE 135"
ECE 228B,Fiber Optic Components and Systems,4,College of Engineering,ECE 228A
ECE 228C,"Optical Circuits, Systems and Networks",4,College of Engineering,"ECE 228A, ECE 228B"
ECE 229,Hybrid Systems,4,College of Engineering,
ECE 230A,Linear Systems I,4,College of Engineering,"ME 210A, ECE 210A, CH E 211A | CMPSC 211A, MATH 206A"
ECE 230B,Linear Systems II,4,College of Engineering,"ME 210A, ECE 210A, CH E 211A | ECE 230A, ME 243A; CMPSC 211A, MATH 206A"
ECE 231,Algorithmic Game Theory,4,College of Engineering,"| ECE 149, ECE 270"
ECE 232,Robust Control Theory,4,College of Engineering,"| ECE 230A, ME 243A; ECE 230B, ME 243B"
ECE 234,"Modeling, Identification, and Validation for Control",4,College of Engineering,ECE 230A
ECE 235,Stochastic Processes in Engineering,4,College of Engineering,ECE 139
ECE 236,Nonlinear Control Systems,4,College of Engineering,
ECE 238,Advanced Control Design Laboratory,4,College of Engineering,"| ME 243A, ECE 230A; ME 243B, ECE 230B, ME 236, ECE 236, ME 256, ECE 232, ME 254, ECE 271C"
ECE 240,Optimal Estimation and Filtering,4,College of Engineering,ECE 139
ECE 241,Multimedia Compression,4,College of Engineering,ECE 139
ECE 242,Digital Signal Compression,4,College of Engineering,"| ECE 139, ECE 235"
ECE 243A,Digital Communication Theory,4,College of Engineering,ECE 146B
ECE 243B,Advanced Digital Communication Theory,4,College of Engineering,ECE 243A
ECE 245,Adaptive Algorithms for Data Analysis and Modeling,4,College of Engineering,ECE 139
ECE 250,Wireless Communication and Networking,4,College of Engineering,ECE 146A
ECE 251,MOBILE EMBEDDED SYSTEMS,4,College of Engineering,ECE 152A
ECE 252B,Computer Arithmetic,4,College of Engineering,"ECE 152A, ECE 152B"
ECE 253,Embedded System Design,4,College of Engineering,
ECE 254A,Advanced Computer Architecture: Processor Design,4,College of Engineering,ECE 154
ECE 254B,Advanced Computer Architecture: Parallel Processing,4,College of Engineering,"| ECE 254A, ECE 154B"
ECE 254C,Advanced Computer Architecture: Distributed Systems,4,College of Engineering,ECE 254A
ECE 254D,ADVANCED COMPUTER ARCHITECTURE: MEMORY-CENTRIC COMPUTING,4,College of Engineering,"ECE 154A, ECE 154B"
ECE 255A,VLSI Testing Techniques,4,College of Engineering,ECE 152A
ECE 255B,VLSI Design Validation,4,College of Engineering,ECE 255A
ECE 256A,Introduction to Design Automation,4,College of Engineering,
ECE 256C,Advanced VLSI Architecture and Design,4,College of Engineering,"| ECE 124A, ECE 256A, ECE 256B"
ECE 256D,Algorithmic Logic Synthesis,4,College of Engineering,ECE 15A
ECE 257A,Fault Tolerant Computing,4,College of Engineering,"ECE 152A, ECE 152B"
ECE 258,Multirate Digital Signal Processing,4,College of Engineering,ECE 158
ECE 259A,Digital Speech Processing,4,College of Engineering,"| ECE 158, ECE 242"
ECE 259B,Fundamentals of Speech Recognition,4,College of Engineering,ECE 158
ECE 260A,Principles of Quantum Electronics,4,College of Engineering,"| ECE 144, ECE 162C"
ECE 261,INTRODUCTION TO NANOPHOTONICS,4,College of Engineering,
ECE 262,Physics of Solar Cells,4,College of Engineering,
ECE 265,ELECTRONIC AND PHOTONIC INTEGRATION AND PACKAGING,4,College of Engineering,ECE 221A | ECE 227A; ECE 228A
ECE 267,Confined Electrons and Photons in Semiconductor Structures,3,College of Engineering,"| MATRL 162A, MATRL 162B, ECE 162A, ECE 162B"
ECE 269,Network Systems: Dynamics and Control,4,College of Engineering,
ECE 270,NONCOOPERATIVE GAME THEORY,4,College of Engineering,
ECE 271A,Principles of Optimization,4,College of Engineering,ECE 210A
ECE 271C,Optimal Control of Dynamic Systems,4,College of Engineering,"| ECE 230A, ME 243A"
ECE 272A,Machine Learning in Design and Test Automation,4,College of Engineering,ECE 152A
ECE 272B,Artificial Intelligence in Design and Test Automation,4,College of Engineering,ECE 272A
ECE 272C,AI Agents for the Semiconductor Industry,4,College of Engineering,"ECE 272A, ECE 272B"
ECE 273,TENSOR COMPUTATION FOR MACHINE LEARNING AND BIG DATA,4,College of Engineering,
ECE 274,Neurally Inspired Computing Systems,4,College of Engineering,
ECE 275,From Statistical Mechanics to Quantum Computing: A Unified View,4,College of Engineering,
ECE 276,"Geometric AI: Equivariant, Topological and Geometric Deep Learning",4,College of Engineering,
ECE 277,Pattern Recognition,4,College of Engineering,"ECE 130C, ECE 139"
ECE 278A,Digital Image Processing,4,College of Engineering,"| ECE 158, ECE 178"
ECE 278B,Principles of Biological Microscopy,4,College of Engineering,"| ECE 158, ECE 178"
ECE 278C,Imaging Systems,4,College of Engineering,"ECE 158, ECE 178"
ECE 279,Computer System Performance Evaluation,4,College of Engineering,"ECE 139, ECE 154A, CMPSC 170"
ECE 281,Advanced Topics in Computer Vision,4,College of Engineering,| CMPSC 181
ECE 281B,Advanced Topics in Computer Vision,4,College of Engineering,| CMPSC 181
ECE 282,Error Correcting Codes,4,College of Engineering,"| ECE 130C, ECE 139"
ECE 283,MACHINE LEARNING: A SIGNAL PROCESSING PERSPECTIVE,4,College of Engineering,ECE 235
ECE 284,THEORETICAL MACHINE LEARNING,4,College of Engineering,ECE 235
ECE 285,ADVANCED IMAGE SYNTHESIS,4,College of Engineering,
ECE 289,INTRODUCTION TO ROBOTICS: DYNAMICS AND CONTROL,5,College of Engineering,"| ECE 130A, ME 155A"
ECE 295,"Group Studies: Controls, Dynamical Systems, and Computation",1,College of Engineering,
ECE 3,Introduction to Python Programming For Engineers,4,College of Engineering,
ECE 493,Internship in Industry,99,College of Engineering,
ECE 5,Introduction to Electrical & Computer Engineering,4,College of Engineering,
ECE 502,Teaching of Electrical and Computer Engineering,99,College of Engineering,
ECE 594,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594A,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594AA,Micro-Electro-Mechanical Systems,99,College of Engineering,
ECE 594B,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594BB,Computer Engineering,99,College of Engineering,
ECE 594C,Special Topics in Electrical and Computer Engineering,5,College of Engineering,
ECE 594CC,Special Topics in ECE Photonics,99,College of Engineering,
ECE 594D,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594E,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594F,Special Topics in Electrical and Computer Engineering,5,College of Engineering,
ECE 594I,Special Topics in Electrical and Computer Engineering,5,College of Engineering,
ECE 594N,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594Q,Special Topics in Electrical and Computer Engineering: Imaging Systems and Image Processing,5,College of Engineering,
ECE 594T,Special Topics in Electrical and Computer Engineering,5,College of Engineering,
ECE 594U,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594V,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594W,Special Topics in Electrical and Computer Engineering,99,College of Engineering,
ECE 594Z,Nanotechnology,99,College of Engineering,
ECE 595,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595B,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595C,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595E,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595F,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595G,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595GP,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595H,Special Topics in Electrical and Computer Engineering,1,College of Engineering,
ECE 595I,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595K,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595L,Special Topics in Electrical and Computer Engineering,1,College of Engineering,
ECE 595O,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595Q,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595R,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595S,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595T,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595U,Group Studies in Electrical and Computer Engineering: Scientific Computation,1,College of Engineering,
ECE 595V,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595W,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 595X,Group Studies in Electrical and Computer Engineering,1,College of Engineering,
ECE 596,Directed Research,99,College of Engineering,
ECE 597,Individual Studies for M.S. Comprehensive Examinations and Ph.D. Examinations,99,College of Engineering,
ECE 598,Master's Thesis Research and Preparation,99,College of Engineering,
ECE 599,Ph.D. Dissertation Research and Preparation,99,College of Engineering,
ECE 6,"The Physics of Energy, Information, and Communication",4,College of Engineering,
ECE 92,Projects in Electrical and Computer Engineering,4,College of Engineering,
ECE 94,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 94A,Circuits,99,College of Engineering,
ECE 94AA,Micro-electro-mechanical-systems,99,College of Engineering,
ECE 94B,Systems Theory,99,College of Engineering,
ECE 94BB,Computer Engineering,99,College of Engineering,
ECE 94C,Communications Systems,99,College of Engineering,
ECE 94CC,Group Studies in Electrical and Computer Engineering,99,College of Engineering,
ECE 94D,Control Systems,99,College of Engineering,
ECE 94E,Signal Processing,99,College of Engineering,
ECE 94F,Solid State,99,College of Engineering,
ECE 94G,Fields and Waves,99,College of Engineering,
ECE 94H,Quantum Electronics,99,College of Engineering,
ECE 94I,Microwave Electronics,99,College of Engineering,
ECE 94J,Switching Theory,99,College of Engineering,
ECE 94K,Digital Systems Design,99,College of Engineering,
ECE 94L,Computer Architecture,99,College of Engineering,
ECE 94M,Computer Graphics,99,College of Engineering,
ECE 94N,Pattern Recognition,99,College of Engineering,
ECE 94O,Microprocessors and Microprocessor-based systems,99,College of Engineering,
ECE 94P,Simulation,99,College of Engineering,
ECE 94Q,Imaging Systems and Image Processing,99,College of Engineering,
ECE 94R,General,99,College of Engineering,
ECE 94S,Speech,99,College of Engineering,
ECE 94T,Robot Control,99,College of Engineering,
ECE 94U,Optoelectronics,99,College of Engineering,
ECE 94V,Scientific Computation,99,College of Engineering,
ECE 94W,Computer Network,99,College of Engineering,
ECE 94X,Distributed Computation,99,College of Engineering,
ECE 94Y,Numerical Differential Equations,99,College of Engineering,
ECE 94Z,Nanotechnology,99,College of Engineering,
ECE 96,Undergraduate Research,12,College of Engineering,
ENGR 101,Ethics in Engineering,3,College of Engineering,
ENGR 103,Advanced Engineering Writing,4,College of Engineering,"| WRIT 50, WRIT 50E"
ENGR 10H,Engineering Honors Seminar,1,College of Engineering,
ENGR 13A,"Integrated Networking, Scholarship, and Peer Interaction for eaRly Engineers (INSPIRE) Seminar",1,College of Engineering,
ENGR 13B,"Integrated Networking, Scholarship, and Peer Interaction for eaRly Engineers (INSPIRE) Seminar",1,College of Engineering,ENGR 13A
ENGR 177,Art and Science of Aerospace Culture,4,College of Engineering,
ENGR 195A,Multidisciplinary Capstone Design,1,College of Engineering,
ENGR 195B,Multidisciplinary Capstone Design,1,College of Engineering,ENGR 195A
ENGR 195C,Multidisciplinary Capstone Design,1,College of Engineering,ENGR 195B
ENGR 199,Independent Studies in Engineering,10,College of Engineering,
ENGR 220C,Tissue & Systems Bioengineering,4,College of Engineering,ENGR 220B
ENGR 3,Introduction to Programming,3,College of Engineering,
ENGR 99,Introduction to Research,6,College of Engineering,
ENGR W3,Introduction to Programming,3,College of Engineering,
MATRL 10,"Materials in Society, The Stuff of Dreams",4,College of Engineering,
MATRL 100A,Structure and Properties I,3,College of Engineering,"CHEM 1A, CHEM 1B, MATH 4B, MATH 6A, MATH 6B"
MATRL 100B,Structures and Properties II,3,College of Engineering,MATRL 100A
MATRL 100C,Fundamentals of Structural Evolution,3,College of Engineering,"MATRL 100A, MATRL 100B"
MATRL 101,Introduction to the Structure and Properties of Materials,3,College of Engineering,
MATRL 135,Biophysics and Biomolecular Materials,3,College of Engineering,"| PHYS 5, PHYS 6C, PHYS 25"
MATRL 160,Introduction to Polymer Science,3,College of Engineering,"| CH E 110A, CHEM 113A"
MATRL 162A,The Quantum Description of Electronic Materials,4,College of Engineering,"ECE 130A, ECE 130B, ECE 134"
MATRL 162B,Fundamentals of the Solid State,4,College of Engineering,ECE 162A
MATRL 185,Materials in Engineering,3,College of Engineering,"| MATRL 100B, MATRL 101"
MATRL 186A,Manufacturing and Materials,3,College of Engineering,"ME 151C, ME 15 | MATRL 101, MATRL 100C"
MATRL 186B,Introduction to Additive Manufacturing,3,College of Engineering,
MATRL 188,Topics In Materials,2,College of Engineering,
MATRL 200A,Thermodynamic Foundation of Materials,4,College of Engineering,
MATRL 200B,Electronic and Atomic Structure of Materials,4,College of Engineering,
MATRL 200C,Structure Evolution,4,College of Engineering,
MATRL 200Q,Introduction to Quantum Mechanics for Materials,3,College of Engineering,
MATRL 200S,Introduction to Structure and Phase Stability,3,College of Engineering,
MATRL 204,Introduction to Magnetism and Magnetic Materials,3,College of Engineering,
MATRL 205,Wide-Band Gap Materials and Devices,3,College of Engineering,
MATRL 206A,Fundamentals of Electronic Solids I,4,College of Engineering,"ECE 162A, ECE 162B"
MATRL 206B,Fundamentals of Electronic Solids II,4,College of Engineering,"ECE 162A, ECE 162B"
MATRL 207,Mechanics of Materials,3,College of Engineering,
MATRL 209A,Crystallography and Diffraction Fundamentals,3,College of Engineering,
MATRL 209B,X-Ray Diffraction II: Advanced Methods,3,College of Engineering,
MATRL 209C,Electron Microscopy II: Crystalline Materials,3,College of Engineering,
MATRL 211A,Engineering Quantum Mechanics I,4,College of Engineering,"ECE 162A, ECE 162B"
MATRL 211B,Engineering Quantum Mechanics II,4,College of Engineering,"| ECE 211A, MATRL 211A, ECE 215A, MATRL 206A"
MATRL 214,Advanced Topics in Equilibrium Statistical Mechanics,3,College of Engineering,
MATRL 215A,Semiconductor Device Processing,4,College of Engineering,ECE 132
MATRL 215B,Semiconductor Device Processing,4,College of Engineering,MATRL 215A
MATRL 215C,Semiconductor Device Processing,4,College of Engineering,MATRL 215A
MATRL 216,Defects in Semiconductors,3,College of Engineering,"ECE 162A, ECE 162B"
MATRL 217,Molecular Beam Epitaxy and Band Gap Engineering,3,College of Engineering,"| MATRL 162A, MATRL 162B, ECE 162A, ECE 162B"
MATRL 218,Introduction to Inorganic Materials,3,College of Engineering,
MATRL 219,Phase Transformations,3,College of Engineering,
MATRL 220,Mechanical Behavior of Materials,3,College of Engineering,MATRL 207
MATRL 222A,Colloids and Interfaces I,3,College of Engineering,
MATRL 222B,Colloids and Interfaces II,3,College of Engineering,
MATRL 226,Symmetry and Tensor Properties of Materials,3,College of Engineering,
MATRL 227,Metal-Organic Chemical Vapor Deposition,3,College of Engineering,
MATRL 228,Computational Materials,3,College of Engineering,
MATRL 230,Elasticity and Plasticity,3,College of Engineering,"| MATRL 207, ME 219"
MATRL 232,Plasticity,3,College of Engineering,MATRL 207
MATRL 234,Fracture Mechanics,3,College of Engineering,MATRL 207
MATRL 238A,Rheology of Complex Fluids,3,College of Engineering,
MATRL 240,Finite Element Structural Analysis,3,College of Engineering,MATRL 207
MATRL 241,Structural Inorganic Chemistry,3,College of Engineering,"CHEM 173A, CHEM 173B, CHEM 175"
MATRL 242,Symmetries and Group Theory,3,College of Engineering,
MATRL 245,Electrochemistry and Electrochemical Methods,3,College of Engineering,
MATRL 251,Processing of Inorganic Materials,3,College of Engineering,
MATRL 253,Liquid Crystal Materials,4,College of Engineering,
MATRL 261,Composite Materials,3,College of Engineering,MATRL 207
MATRL 263,Thin Films and Multilayers,3,College of Engineering,"MATRL 207, ME 219"
MATRL 264,Hydrogen in Materials,3,College of Engineering,
MATRL 268A,Semiconductor Lasers I,4,College of Engineering,"| ECE 162A, ECE 162B, ECE 162C, MATRL 162A, MATRL 162B; MATRL 162A, MATRL 162B, ECE 162C, ECE 144"
MATRL 268B,Semiconductor Lasers II,4,College of Engineering,"| ECE 227A, MATRL 268A; ECE 227A, MATRL 268A, ECE 215A, MATRL 206A"
MATRL 270,Biomaterials and Biosurfaces,3,College of Engineering,
MATRL 271A,Synthesis and Properties of Macromolecules,3,College of Engineering,
MATRL 271B,Structure and Characterization of Complex Fluids,3,College of Engineering,
MATRL 271C,Properties of Macromolecules,3,College of Engineering,
MATRL 273,Experiments in Macromolecular Materials,3,College of Engineering,
MATRL 274,Solid State Inorganic Materials,3,College of Engineering,"CHEM 173A, CHEM 173B"
MATRL 275,Electrostatics of Biopolymers,2,College of Engineering,
MATRL 276A,Biomolecular Materials I: Structure and Function,3,College of Engineering,
MATRL 276B,Biomolecular Materials II: Applications,3,College of Engineering,
MATRL 278,Interaction in Biomolecular Complexes,3,College of Engineering,
MATRL 279,First-Principles Calculations for Materials,3,College of Engineering,
MATRL 280A,Synthesis and Electronic Structures of Conjugated Polymers,3,College of Engineering,
MATRL 281,Technical Communication and Presentation Design,3,College of Engineering,
MATRL 284,Synthetic Chemistry of Macromolecules,3,College of Engineering,
MATRL 286,Special Topics in Inorganic Materials,3,College of Engineering,
MATRL 286B,Special Topics in Inorganic Materials,3,College of Engineering,
MATRL 286C,In Situ/ In Operando Methods for Materials Science Research,3,College of Engineering,
MATRL 286D,Advanced TEM,3,College of Engineering,
MATRL 286E,Electrochemistry and Electrochemical Methods,3,College of Engineering,
MATRL 286F,Symmetries and Group Theory,3,College of Engineering,
MATRL 286G,Structural Families of Functional Inorganic Materials,3,College of Engineering,
MATRL 286H, Fundamental and Applied Concepts in Ceramics for Electrochemical Technologies,3,College of Engineering,
MATRL 286I,Special Topics in Inorganic Materials,3,College of Engineering,
MATRL 286J,Optical Characterization of Materials,3,College of Engineering,
MATRL 286K,Non-Metal to Metal Transitions,3,College of Engineering,
MATRL 286L,Magnetism and Magnetic Phase Behavior in Solid State Materials,3,College of Engineering,
MATRL 286M,Experiments in Inorganic Materials,3,College of Engineering,
MATRL 286N,Functional Inorganic Oxides,3,College of Engineering,
MATRL 286P,Special Topics in Inorganic Materials,3,College of Engineering,
MATRL 286Q,Topics in Quantum Materials Measurement,3,College of Engineering,
MATRL 286QQ,Quantum Phenomena in Mesoscopic Materials and Devices,3,College of Engineering,
MATRL 286R,Theoretical Foundations of Quantum Materials,3,College of Engineering,
MATRL 286S,Advanced Solid State Physics,3,College of Engineering,
MATRL 286T,Topological Band Theory,3,College of Engineering,
MATRL 286V,Special Topics in Inorganic Materials,3,College of Engineering,
MATRL 286W,The Art of Scientific Writing,3,College of Engineering,
MATRL 286Z,Solid State Ionics and Electrochem Devices,3,College of Engineering,
MATRL 287,Special Topics in Macromolecular Materials,3,College of Engineering,
MATRL 287A,Structure and Symmetry,3,College of Engineering,
MATRL 287B,Electrostatics in Polar Solvents,3,College of Engineering,
MATRL 287C,Soft Matter Mechanics,3,College of Engineering,
MATRL 287D,Special Topics in Macromolecular Materials,3,College of Engineering,
MATRL 287E,Special Topics in Macromolecular Materials,3,College of Engineering,
MATRL 287F,Special Topics in Macromolecular Materials,3,College of Engineering,
MATRL 287G,Special Topics in Macromolecular Materials,3,College of Engineering,
MATRL 287H,Special Topics in Macromolecular Materials,3,College of Engineering,
MATRL 287X,Sustainability in Materials Science,3,College of Engineering,
MATRL 288,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288A,Special Topics in Materials for Quantum Information Science,3,College of Engineering,
MATRL 288C,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288D,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288DD,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288E,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288F,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288G,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288H,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288I,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288J,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288K,Power Semiconductor Materials and Devices,3,College of Engineering,
MATRL 288L,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288M,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288N,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288O,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288P,Thin Film and Amorphous Semiconductors,3,College of Engineering,
MATRL 288V,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 288X,Special Topics in Electronic Materials,3,College of Engineering,
MATRL 289,Special Topics in Structural Materials,3,College of Engineering,
MATRL 289A,Special Topics in Structural Materials,3,College of Engineering,
MATRL 289B,Special Topics in Structural Materials,3,College of Engineering,
MATRL 289C,Special Topics in Structural Materials,3,College of Engineering,
MATRL 289D,Special Topics in Structural Materials,3,College of Engineering,
